ip,name
212.102.225.2,got it from https://public-dns.info/nameservers-all.txt
212.108.197.216,got it from https://public-dns.info/nameservers-all.txt
212.15.86.12,got it from https://public-dns.info/nameservers-all.txt
212.19.96.2,got it from https://public-dns.info/nameservers-all.txt
212.203.32.11,got it from https://public-dns.info/nameservers-all.txt
212.230.255.1,got it from https://public-dns.info/nameservers-all.txt
212.31.32.130,got it from https://public-dns.info/nameservers-all.txt
212.31.32.131,got it from https://public-dns.info/nameservers-all.txt
212.51.16.1,got it from https://public-dns.info/nameservers-all.txt
212.51.17.1,got it from https://public-dns.info/nameservers-all.txt
212.66.129.98,got it from https://public-dns.info/nameservers-all.txt
212.66.160.2,got it from https://public-dns.info/nameservers-all.txt
212.67.143.194,got it from https://public-dns.info/nameservers-all.txt
212.73.138.38,got it from https://public-dns.info/nameservers-all.txt
212.89.130.180,got it from https://public-dns.info/nameservers-all.txt
213.209.122.11,got it from https://public-dns.info/nameservers-all.txt
213.211.50.1,got it from https://public-dns.info/nameservers-all.txt
213.211.50.2,got it from https://public-dns.info/nameservers-all.txt
213.23.108.129,got it from https://public-dns.info/nameservers-all.txt
216.106.1.2,got it from https://public-dns.info/nameservers-all.txt
216.131.95.20,got it from https://public-dns.info/nameservers-all.txt
216.136.95.2,got it from https://public-dns.info/nameservers-all.txt
216.143.135.12,got it from https://public-dns.info/nameservers-all.txt
216.218.221.6,got it from https://public-dns.info/nameservers-all.txt
216.218.226.238,got it from https://public-dns.info/nameservers-all.txt
216.66.80.26,got it from https://public-dns.info/nameservers-all.txt
217.113.48.1,got it from https://public-dns.info/nameservers-all.txt
217.115.16.3,got it from https://public-dns.info/nameservers-all.txt
217.14.143.18,got it from https://public-dns.info/nameservers-all.txt
217.144.144.11,got it from https://public-dns.info/nameservers-all.txt
217.144.144.211,got it from https://public-dns.info/nameservers-all.txt
217.24.112.2,got it from https://public-dns.info/nameservers-all.txt
217.73.17.110,got it from https://public-dns.info/nameservers-all.txt
221.139.13.130,got it from https://public-dns.info/nameservers-all.txt
24.154.1.4,got it from https://public-dns.info/nameservers-all.txt
24.154.1.5,got it from https://public-dns.info/nameservers-all.txt
62.109.182.2,got it from https://public-dns.info/nameservers-all.txt
62.140.239.1,got it from https://public-dns.info/nameservers-all.txt
62.37.225.56,got it from https://public-dns.info/nameservers-all.txt
62.37.225.57,got it from https://public-dns.info/nameservers-all.txt
62.77.202.25,got it from https://public-dns.info/nameservers-all.txt
64.132.94.250,got it from https://public-dns.info/nameservers-all.txt
64.254.99.13,got it from https://public-dns.info/nameservers-all.txt
69.28.144.102,got it from https://public-dns.info/nameservers-all.txt
69.28.97.4,got it from https://public-dns.info/nameservers-all.txt
77.241.25.3,got it from https://public-dns.info/nameservers-all.txt
77.72.192.3,got it from https://public-dns.info/nameservers-all.txt
77.72.192.33,got it from https://public-dns.info/nameservers-all.txt
78.128.126.1,got it from https://public-dns.info/nameservers-all.txt
79.141.81.250,got it from https://public-dns.info/nameservers-all.txt
79.141.82.250,got it from https://public-dns.info/nameservers-all.txt
80.64.32.2,got it from https://public-dns.info/nameservers-all.txt
80.79.179.2,got it from https://public-dns.info/nameservers-all.txt
81.180.201.98,got it from https://public-dns.info/nameservers-all.txt
81.95.128.218,got it from https://public-dns.info/nameservers-all.txt
82.141.136.2,got it from https://public-dns.info/nameservers-all.txt
82.212.67.100,got it from https://public-dns.info/nameservers-all.txt
82.212.67.101,got it from https://public-dns.info/nameservers-all.txt
83.137.41.8,got it from https://public-dns.info/nameservers-all.txt
83.96.188.4,got it from https://public-dns.info/nameservers-all.txt
85.115.224.18,got it from https://public-dns.info/nameservers-all.txt
85.174.190.2,got it from https://public-dns.info/nameservers-all.txt
87.204.28.12,got it from https://public-dns.info/nameservers-all.txt
87.229.99.1,got it from https://public-dns.info/nameservers-all.txt
089.104.166.243,got it from https://public-dns.info/nameservers-all.txt
89.107.129.15,got it from https://public-dns.info/nameservers-all.txt
90.189.109.2,got it from https://public-dns.info/nameservers-all.txt
91.189.0.2,got it from https://public-dns.info/nameservers-all.txt
91.189.0.5,got it from https://public-dns.info/nameservers-all.txt
91.197.164.11,got it from https://public-dns.info/nameservers-all.txt
91.197.165.11,got it from https://public-dns.info/nameservers-all.txt
091.198.154.133,got it from https://public-dns.info/nameservers-all.txt
91.203.177.4,got it from https://public-dns.info/nameservers-all.txt
